master,pair,station,lagtime,coefficient,phase,ttmaster,ttpair,dt
415,455,NIL06,-0.022625264,0.865493141,S,3.69,3.82,0.13
415,455,NIL09,-0.039057582,0.578688663,P,2.35,2.31,-0.04
415,455,NIL03,0.039601716,0.526726127,S,2.03,2.08,0.05
415,455,NIL03,0.042837142,0.602978207,P,2.19,2.32,0.13
415,455,NIL04,0.062801385,0.529338106,P,2.52,2.49,-0.03
415,455,NIL04,-0.159774354,0.447978988,S,3.46,3.71,0.25
415,475,NIL06,-0.042537428,0.696058574,S,2.17,2.19,0.02
415,475,NIL06,0.020783798,0.731696129,P,3.69,3.82,0.13
415,475,NIL03,0.187255208,0.43795371,P,2.35,2.31,-0.04
415,475,NIL09,0.005667093,0.904483082,P,2.03,2.08,0.05
415,475,NIL08,-0.125482318,0.545485744,S,2.19,2.32,0.13
415,475,NIL08,0.056216514,0.757349983,P,2.52,2.49,-0.03
415,475,SIL03,0.007287467,0.615286769,P,3.46,3.71,0.25
415,475,NIL04,0.095325801,0.746403241,P,2.28,2.28,0
415,531,NIL06,-0.010962225,0.805219655,S,2.17,2.19,0.02
415,531,NIL06,-0.128122729,0.532121155,P,3.69,3.82,0.13
415,531,NIL09,-0.034682737,0.691961595,P,2.35,2.31,-0.04
415,531,NIL03,-0.033883571,0.435027411,P,2.03,2.08,0.05
415,531,NIL03,-0.184638218,0.436334354,S,2.19,2.32,0.13
415,531,NIL08,0.025157624,0.816596637,P,2.52,2.49,-0.03
415,531,NIL08,0.004420446,0.587131181,S,3.46,3.71,0.25
415,531,SIL03,0.0150218,0.892711081,P,2.28,2.28,0
415,531,NIL04,0.091156428,0.472580711,P,2.24,2.35,0.11
415,531,NIL04,0.017319757,0.495778196,S,2.9,2.65,-0.25
415,439,NIL06,0.002981388,0.644310543,S,2.17,2.19,0.02
415,439,NIL06,0.016317665,0.649861057,P,3.69,3.82,0.13
415,439,NIL09,-0.047990504,0.646028021,P,2.35,2.31,-0.04
415,439,NIL03,0.117275009,0.44262907,P,2.03,2.08,0.05
415,439,NIL03,-0.002436445,0.634839808,S,2.19,2.32,0.13
415,439,NIL08,-0.041797024,0.822034384,P,2.52,2.49,-0.03
415,439,NIL08,-0.073441615,0.757244944,S,3.46,3.71,0.25
415,439,SIL03,0.12714105,0.506087817,P,2.28,2.28,0
415,439,NIL04,0.110954512,0.514043444,P,2.24,2.35,0.11
415,439,NIL04,-0.047242716,0.556109988,S,2.9,2.65,-0.25
415,480,NIL06,0.016727542,0.456226553,P,2.17,2.19,0.02
415,480,NIL06,0.003689532,0.837278284,S,3.69,3.82,0.13
415,480,NIL09,-0.016065738,0.830123324,P,2.35,2.31,-0.04
415,480,NIL03,0.093456979,0.560116871,P,2.03,2.08,0.05
415,480,NIL03,-0.095340439,0.674278186,S,2.19,2.32,0.13
415,480,SIL03,0.079880899,0.86295382,P,2.52,2.49,-0.03
415,480,NIL08,-0.137597438,0.498789158,S,3.46,3.71,0.25
415,480,NIL08,0.076718112,0.75231859,P,2.28,2.28,0
415,480,NIL04,0.136715284,0.453034048,P,2.24,2.35,0.11
415,481,NIL06,-0.027934034,0.482849716,P,2.17,2.19,0.02
415,481,NIL06,0.030544425,0.870313372,S,3.69,3.82,0.13
415,481,NIL09,-0.007723944,0.823498375,P,2.35,2.31,-0.04
415,481,NIL03,-0.021609708,0.553188473,P,2.03,2.08,0.05
415,481,NIL03,-0.054414729,0.492995056,S,2.19,2.32,0.13
415,481,NIL08,-0.000772323,0.555429,S,2.52,2.49,-0.03
415,481,NIL08,0.026281823,0.847529017,P,3.46,3.71,0.25
415,481,SIL03,0.07353512,0.880834001,P,2.28,2.28,0
415,481,NIL04,0.068146443,0.745034921,P,2.24,2.35,0.11
415,479,NIL06,-0.004149859,0.834097367,S,2.17,2.19,0.02
415,479,NIL06,0.016652339,0.495106258,P,3.69,3.82,0.13
415,479,NIL09,-0.007044984,0.839966647,P,2.35,2.31,-0.04
415,479,SIL03,-0.001175414,0.55119191,P,2.03,2.08,0.05
415,479,NIL08,0.078837443,0.739759074,P,2.19,2.32,0.13
415,479,NIL08,-0.09355596,0.6011174,S,2.52,2.49,-0.03
415,471,NIL06,0.075322994,0.484674921,S,2.17,2.19,0.02
415,471,NIL06,-0.131884241,0.587262192,P,3.69,3.82,0.13
415,471,NIL09,0.008473434,0.841060656,P,2.35,2.31,-0.04
415,471,NIL03,-0.057581448,0.534015843,P,2.03,2.08,0.05
415,471,NIL08,0.046637219,0.810553782,P,2.19,2.32,0.13
415,471,NIL08,-0.13398247,0.61151836,S,2.52,2.49,-0.03
415,471,SIL03,0.061952954,0.891052792,P,3.46,3.71,0.25
415,471,NIL04,-0.100321815,0.518798684,S,2.28,2.28,0
415,471,NIL04,-0.008148904,0.529166365,P,2.24,2.35,0.11
415,458,NIL06,0.074798554,0.320826086,P,2.17,2.19,0.02
415,458,NIL06,0.017565255,0.871606398,S,3.69,3.82,0.13
415,458,NIL09,-0.057059245,0.664706541,P,2.35,2.31,-0.04
415,458,NIL03,0.052862541,0.393898325,P,2.03,2.08,0.05
415,458,NIL03,0.029732529,0.599682495,S,2.19,2.32,0.13
415,458,NIL08,0.015683578,0.632938324,S,2.52,2.49,-0.03
415,458,NIL08,-0.007280937,0.918390107,P,3.46,3.71,0.25
415,458,NIL04,-0.009986502,0.652508525,P,2.28,2.28,0
417,539,SIL07,-0.121817468,0.517283909,P,2.17,2.19,0.02
417,539,SIL08,0.025953633,0.505023719,P,3.69,3.82,0.13
